[-0.01,-0.01]
[-0.0335,-0.0335]
[-0.081186,-0.081186]
[-0.17667,-0.17667]
[-0.371952,-0.371952]
[-0.787247,-0.787247]
[-1.07448,-0.787247]
[-1.47677,-0.535921]
[-1.47677,-0.645876]
[-1.38056,-0.645876]
[-1.46475,-0.645876]
[-1.39109,-0.719537]
[-1.39109,-0.655084]
[-1.44748,-0.655084]
[-1.42281,-0.655084]
[-1.42281,-0.676673]
[-1.41336,-0.676673]
[-1.41336,-0.668408]
[-1.4206,-0.668408]
[-1.41901,-0.66999]
[-1.41832,-0.66999]
[-1.41893,-0.669385]
[-1.41889,-0.669418]
[-1.41888,-0.669415]
[-1.41888,-0.669418]
[-1.41888,-0.669418]
[-1.41888,-0.669419]
[-1.41888,-0.669418]
[-1.41888,-0.669418]
[-1.41888,-0.669418]
